Flight No.,Date andtime (UTC),"Version,booster[f]",Launchsite,Payload[g],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding
"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the 200th flight and 200th success of the Block 5 version of Falcon 9. SpaceX's Falcon family thus broke the yearly world record for most launches attempted (irrespective of launch outcome) by any rocket family, i.e., 64 set by the R-7 family in 1980 after this launch.[166][167]",,,,,,,,,
257,20 September 202303:38[168],F9 B5B1058.17,"Cape Canaveral, SLC‑40",Starlink: Group 6-17 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record using the same booster for the 17th time.,,,,,,,,,
258,24 September 202303:38[169],F9 B5B1060.17,"Cape Canaveral, SLC‑40",Starlink: Group 6-18 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Second booster to fly for the 17th time.,,,,,,,,,
259,25 September 202308:48[170],F9 B5B1075.6,"Vandenberg, SLC‑4E",Starlink: Group 7-3 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
260,30 September 202302:00[171],F9 B5B1069.10,"Cape Canaveral, SLC‑40",Starlink: Group 6-19 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked the first time SpaceX completed ten launches in a calendar month.,,,,,,,,,
261,5 October 202305:36[172],F9 B5B1076.8,"Cape Canaveral, SLC‑40",Starlink: Group 6-21 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
262,9 October 202307:23[173],F9 B5B1063.14,"Vandenberg, SLC‑4E",Starlink: Group 7-4 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
FH 8,13 October 202314:19[174],Falcon Heavy B5B1079 (core)[175],"Kennedy, LC‑39A",Psyche[176],"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,No attempt
B1064.4 (side),Success (LZ‑1),,,,,,,,
B1065.4 (side),Success (LZ‑2),,,,,,,,
"Discovery Program mission designed to explore asteroid 16 Psyche to investigate the formation of the early Solar System.[177] Center core expended, while both side-boosters returned to Cape Canaveral for landings at LZ-1 and LZ-2.[178]",,,,,,,,,
263,13 October 202323:01[179],F9 B5B1067.14,"Cape Canaveral, SLC‑40",Starlink: Group 6-22 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
264,18 October 202300:39[180],F9 B5B1062.16,"Cape Canaveral, SLC‑40",Starlink: Group 6-23 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
265,21 October 202308:23[181],F9 B5B1061.16,"Vandenberg, SLC‑4E",Starlink: Group 7-5 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
266,22 October 202302:17[182],F9 B5B1080.4,"Cape Canaveral, SLC‑40",Starlink: Group 6-24 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg.",,,,,,,,,
267,29 October 202309:00[183],F9 B5B1075.7,"Vandenberg, SLC‑4E",Starlink: Group 7-6 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. New record of launching 22 Starlink v2 mini satellites from the West Coast.,,,,,,,,,
268,30 October 202323:20[184],F9 B5B1077.8,"Cape Canaveral, SLC‑40",Starlink: Group 6-25 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
269,4 November 202300:37[185],F9 B5B1058.18,"Cape Canaveral, SLC‑40",Starlink: Group 6-26 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 18th time.,,,,,,,,,
270,8 November 202305:05[186],F9 B5B1073.11,"Cape Canaveral, SLC‑40",Starlink: Group 6-27 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
271,10 November 202301:28[187],F9 B5B1081.2,"Kennedy, LC‑39A",SpaceX CRS-29 (Dragon C211.2),"~9,525 kg (20,999 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
"Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020.[75] The mission launched 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spent approximately one month on station. Among the cargo was station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment.[188]",,,,,,,,,
272,11 November 202318:49[189],F9 B5B1071.12,"Vandenberg, SLC‑4E",Transporter-9 (113 payload smallsat rideshare),Unknown[h],SSO,Various,Success,Success (LZ‑4)
"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited.[190]",,,,,,,,,
273,12 November 202321:08[191],F9 B5B1076.9,"Cape Canaveral, SLC‑40",O3b mPOWER 5 & 6,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success (ASOG)
"Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.[96] This is the first time a single booster launched for 8 times in a single calendar year.",,,,,,,,,
274,18 November 202305:05[192],F9 B5B1069.11,"Cape Canaveral, SLC‑40",Starlink: Group 6-28 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
275,20 November 202310:30[193],F9 B5B1063.15,"Vandenberg, SLC‑4E",Starlink: Group 7-7 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
276,22 November 202307:47[194],F9 B5B1067.15,"Cape Canaveral, SLC‑40",Starlink: Group 6-29 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
277,28 November 202304:20[195],F9 B5B1062.17,"Cape Canaveral, SLC‑40",Starlink: Group 6-30 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX conducted 50th orbital launches in year from SLC-40.,,,,,,,,,
278,1 December 202318:19[196],F9 B5B1061.17,"Vandenberg, SLC‑4E",425 Project SAR satellite[197][198]EIRSAT-1 and others 23 secondary payloads[199],"~800 kg (1,800 lb)(main satellite)",SSO,Republic of Korea Armed Forces,Success,Success (LZ‑4)
A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft.[200] SpaceX completing 250th landing of a Falcon first-stage booster this mission.,,,,,,,,,
279,3 December 202304:00[201],F9 B5B1078.6,"Cape Canaveral, SLC‑40",Starlink: Group 6-31 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
280,7 December 202305:07[202],F9 B5B1077.9,"Cape Canaveral, SLC‑40",Starlink: Group 6-33 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX's 90th launch of the year including Falcon 9 and Falcon Heavy.,,,,,,,,,
281,8 December 202308:03[203],F9 B5B1071.13,"Vandenberg, SLC‑4E",Starlink: Group 7-8 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. 200th landing on a droneship by a Falcon booster. Fastest turnaround of Vandenberg SLC-4E pad at 6 days, 13 hours and 44 minutes. USA broke the world record of most launches by a nation (108), held by Soviet Union in 1982.[204][205] SpaceX completed 100 launches in 365 days (a year) between 8 December 2022, 22:27 UTC and 8 December 2023, 8:03 UTC.[206]",,,,,,,,,
282,19 December 202304:01[207],F9 B5B1081.3,"Cape Canaveral, SLC‑40",Starlink: Group 6-34 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
283,23 December 202305:33[208],F9 B5B1058.19,"Cape Canaveral, SLC‑40",Starlink: Group 6-32 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Partial failure (JRTI)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 19th time. Despite the landing being initially successful, the booster later tipped over during transit due to rough seas, high winds and waves, the stage was unable to be secured to the deck for recovery and later tipped over and was destroyed in transit. SpaceX has already equipped newer Falcon boosters with upgraded landing legs that have the capability to self-level and mitigate this type of issue.[209]",,,,,,,,,
284,24 December 202313:11[210],F9 B5B1075.8,"Vandenberg, SLC‑4E",SARah 2 & 3[211],"~3,600 kg (7,900 lb)",SSO,German Intelligence Service,Success,Success (LZ‑4)
"In January 2019, the satellites were expected to be launched between November 2020 and September 2021.[212] Seventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,,,,,
FH 9,29 December 202301:07[213],Falcon Heavy B5 B1084 (core)[214],"Kennedy, LC‑39A",USSF-52 (Boeing X-37B OTV-7),"6,350 kg (14,000 lb)+ OTV payload",High Elliptical HEO[215],Department of the Air Force RapidCapabilities Office[216]/USSF,Success,No attempt
B1064.5 (side),Success (LZ‑1),,,,,,,,
B1065.5 (side),Success (LZ‑2),,,,,,,,
"Classified payload contract awarded in June 2018 for US$130 million,[217] increased to $149.2 million in August 2021, due to ""a change in the contract requirements"" and was expected to be completed by 14 April 2022.[218] Draft solicitation said the launch was 6,350 kg (14,000 lb) to GTO.[219] A month before launch, the Air Force announced that the mission will fly the X-37B spaceplane.[220] Fourth flight of the second X-37B. Center core expended as both side boosters landed on LZ-1 and LZ-2.",,,,,,,,,
285,29 December 202304:01[221],F9 B5B1069.12,"Cape Canaveral, SLC‑40",Starlink: Group 6-36 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 2 hours and 54 minutes. The previous record time was 4 hours and 12 minutes, set between the Starlink Group 2-8 and SES-18 & SES-19 missions on 17 March 2023.",,,,,,,,,
